State,2015 Yearly Rent,2016 Yearly Rent,2017 Yearly Rent,'15-'16 Rent Diff.,'16-'17 Rent Diff.,2015 Income,2016 Income,2017 Income,'15-'16 Income Diff.,'16-'17 Income Diff.,Lat,Lng
Alabama,11400.0,11700.0,11970.0,300.0,270.0,46053,48237,51113,2184,2876,32.3182314,-86.902298
Alaska,20190.0,19800.0,19170.0,-390.0,-630.0,77717,77351,72231,-366,-5120,64.2008413,-149.4936733
Arizona,14700.0,15000.0,16200.0,300.0,1200.0,54060,58328,61125,4268,2797,34.0489281,-111.0937311
Arkansas,12000.0,12000.0,12600.0,0.0,600.0,44282,46894,48829,2612,1935,35.20105,-91.8318334
California,27510.0,28740.0,31500.0,1230.0,2760.0,65843,68070,69759,2227,1689,36.778261,-119.4179324
Colorado,19500.0,20400.0,21600.0,900.0,1200.0,68906,72084,74172,3178,2088,39.5500507,-105.7820674
Connecticut,21000.0,20400.0,21000.0,-600.0,600.0,75417,77556,72780,2139,-4776,41.6032207,-73.087749
Delaware,15600.0,15600.0,15600.0,0.0,0.0,59759,59294,62318,-465,3024,38.9108325,-75.52766989999999
District of Columbia,30000.0,30300.0,31200.0,300.0,900.0,72501,72508,83382,7,10874,38.9071923,-77.0368707
Florida,19800.0,20280.0,20700.0,480.0,420.0,50518,52277,53681,1759,1404,27.6648274,-81.5157535
Georgia,13800.0,14400.0,15600.0,600.0,1200.0,52529,54678,57016,2149,2338,32.1656221,-82.9000751
Hawaii,28200.0,27882.0,27600.0,-318.0,-282.0,66751,73684,73575,6933,-109,19.8967662,-155.5827818
Idaho,11940.0,12600.0,14400.0,660.0,1800.0,53414,57780,60208,4366,2428,44.0682019,-114.7420408
Illinois,19194.0,19020.0,19170.0,-174.0,150.0,62508,62706,64609,198,1903,40.6331249,-89.3985283
Indiana,11700.0,11970.0,12570.0,270.0,600.0,53786,57300,58873,3514,1573,40.2671941,-86.1349019
Iowa,12630.0,12675.0,12960.0,45.0,285.0,62965,60365,63481,-2600,3116,41.8780025,-93.097702
Kansas,13020.0,13170.0,13140.0,150.0,-30.0,56768,58032,57872,1264,-160,39.011902,-98.4842465
Kentucky,11940.0,11994.0,13020.0,54.0,1026.0,43857,46345,51348,2488,5003,37.8393332,-84.2700179
Louisiana,14700.0,14400.0,15000.0,-300.0,600.0,47515,43103,43903,-4412,800,30.9842977,-91.96233269999999
Maine,18000.0,17100.0,20100.0,-900.0,3000.0,52516,51950,51664,-566,-286,45.253783,-69.4454689
Maryland,20400.0,20340.0,20400.0,-60.0,60.0,76146,75346,81084,-800,5738,39.0457549,-76.64127119999999
Massachusetts,29100.0,30000.0,30000.0,900.0,0.0,70214,73820,73227,3606,-593,42.4072107,-71.3824374
Michigan,11550.0,12000.0,13164.0,450.0,1164.0,56083,58319,57700,2236,-619,44.3148443,-85.60236429999999
Minnesota,16800.0,16920.0,17940.0,120.0,1020.0,71114,71728,71920,614,192,46.729553,-94.6858998
Mississippi,12000.0,12450.0,13200.0,450.0,750.0,41426,41983,43441,557,1458,32.3546679,-89.3985283
Missouri,10740.0,11100.0,11400.0,360.0,300.0,61249,56199,56885,-5050,686,37.9642529,-91.8318334
Montana,12000.0,13200.0,14550.0,1200.0,1350.0,53177,58302,59087,5125,785,46.8796822,-110.3625658
Nevada,15000.0,15000.0,16200.0,0.0,1200.0,53812,56623,56550,2811,-73,38.8026097,-116.419389
New Hampshire,18000.0,18000.0,19500.0,0.0,1500.0,78299,77900,74801,-399,-3099,43.1938516,-71.5723953
New Jersey,22200.0,22500.0,22770.0,300.0,270.0,70728,69940,72997,-788,3057,40.0583238,-74.4056612
New Mexico,13350.0,13770.0,14340.0,420.0,570.0,46684,49493,47855,2809,-1638,34.5199402,-105.8700901
New York,37200.0,36570.0,38700.0,-630.0,2130.0,60017,62758,62447,2741,-311,40.7127753,-74.0059728
North Carolina,13194.0,13800.0,15000.0,606.0,1200.0,52559,54920,50343,2361,-4577,35.7595731,-79.01929969999999
Ohio,12000.0,12450.0,12450.0,450.0,0.0,55150,55146,59768,-4,4622,40.4172871,-82.90712300000001
Oklahoma,13200.0,12600.0,12294.0,-600.0,-306.0,48710,52039,55006,3329,2967,35.4675602,-97.5164276
Oregon,17640.0,19140.0,20700.0,1500.0,1560.0,62944,60407,64610,-2537,4203,43.8041334,-120.5542012
Pennsylvania,15750.0,15600.0,15870.0,-150.0,270.0,62483,62290,63173,-193,883,41.2033216,-77.1945247
Rhode Island,21000.0,21300.0,22800.0,300.0,1500.0,57633,62851,66390,5218,3539,41.5800945,-71.4774291
South Carolina,14400.0,15000.0,15600.0,600.0,600.0,47968,55505,54971,7537,-534,33.836081,-81.1637245
South Dakota,12645.0,12615.0,13425.0,-30.0,810.0,56975,58685,56894,1710,-1791,43.9695148,-99.9018131
Tennessee,13200.0,14340.0,15300.0,1140.0,960.0,48971,52448,55240,3477,2792,35.5174913,-86.5804473
Texas,16800.0,16800.0,17970.0,0.0,1170.0,58432,59396,59295,964,-101,31.9685988,-99.9018131
Utah,14955.0,15420.0,16770.0,465.0,1350.0,68556,68932,71319,376,2387,39.3209801,-111.0937311
Virginia,19140.0,19200.0,19200.0,60.0,0.0,63618,67880,71293,4262,3413,37.4315734,-78.6568942
Washington,19170.0,20340.0,23400.0,1170.0,3060.0,69575,71822,75418,2247,3596,47.7510741,-120.7401385
West Virginia,13200.0,12600.0,12000.0,-600.0,-600.0,44309,45308,45392,999,84,38.5976262,-80.4549026
Wisconsin,13275.0,13200.0,14310.0,-75.0,1110.0,57347,61103,63451,3756,2348,43.7844397,-88.7878678
Wyoming,14400.0,13350.0,12900.0,-1050.0,-450.0,63038,59073,57837,-3965,-1236,43.0759678,-107.2902839
